:START_ID,:END_ID,:TYPE
1000338,1000339,next
1000340,1000341,next
1000341,1000342,next
1000342,1000343,next
1000343,1000344,next
1000344,1000345,next
1000345,1000346,next
1000346,1000347,next
1000347,1000348,next
1000348,1000349,next
1000349,1000350,next
1000350,1000351,next
1000351,1000352,next
1000353,1000354,next
1000354,1000355,next
1000355,1000356,next
1000356,1000357,next
1000357,1000358,next
1000358,1000359,next
1000359,1000360,next
1000360,1000361,next
1000361,1000362,next
1000362,1000363,next
1000363,1000364,next
1000364,1000365,next
1000365,1000366,next
1000366,1000367,next
1000367,1000368,next
1000368,1000369,next
1000369,1000370,next
1000370,1000371,next
1000371,1000372,next
1000373,1000374,next
1000374,1000375,next
1000375,1000376,next
1000376,1000377,next
1000377,1000378,next
1000378,1000379,next
1000379,1000380,next
1000380,1000381,next
1000381,1000382,next
1000382,1000383,next
1000383,1000384,next
1000384,1000385,next
1000385,1000386,next
1000386,1000387,next
1000387,1000388,next
1000388,1000389,next
1000389,1000390,next
1000390,1000391,next
1000391,1000392,next
1000392,1000393,next
1000393,1000394,next
1000394,1000395,next
1000395,1000396,next
1000397,1000398,next
1000398,1000399,next
1000400,1000401,next
1000401,1000402,next
1000402,1000403,next
1000403,1000404,next
1000404,1000405,next
1000405,1000406,next
1000407,1000408,next
1000408,1000409,next
1000409,1000410,next
1000410,1000411,next
1000411,1000412,next
1000412,1000413,next
1000413,1000414,next
1000414,1000415,next
1000415,1000416,next
1000416,1000417,next
1000417,1000418,next
1000419,1000420,next
1000420,1000421,next
1000422,1000423,next
1000423,1000424,next
1000424,1000425,next
1000425,1000426,next
1000426,1000427,next
1000427,1000428,next
1000428,1000429,next
1000429,1000430,next
1000431,1000432,next
1000433,1000434,next
1000434,1000435,next
1000436,1000437,next
1000437,1000438,next
1000438,1000439,next
1000439,1000440,next
1000440,1000441,next
1000441,1000442,next
1000442,1000443,next
1000443,1000444,next
1000444,1000445,next
1000445,1000446,next
1000446,1000447,next
1000447,1000448,next
1000448,1000449,next
1000449,1000450,next
1000450,1000451,next
1000451,1000452,next
1000452,1000453,next
1000453,1000454,next
1000454,1000455,next
1000455,1000456,next
1000456,1000457,next
1000457,1000458,next
1000458,1000459,next
1000459,1000460,next
1000460,1000461,next
1000462,1000463,next
1000463,1000464,next
1000464,1000465,next
1000465,1000466,next
1000466,1000467,next
1000467,1000468,next
1000468,1000469,next
1000469,1000470,next
1000470,1000471,next
1000471,1000472,next
1000472,1000473,next
1000473,1000474,next
1000475,1000476,next
1000476,1000477,next
1000477,1000478,next
1000478,1000479,next
1000480,1000481,next
1000481,1000482,next
1000483,1000484,next
1000484,1000485,next
1000485,1000486,next
1000487,1000488,next
1000489,1000490,next
1000491,1000492,next
1000492,1000493,next
1000493,1000494,next
1000494,1000495,next
1000495,1000496,next
1000496,1000497,next
1000497,1000498,next
1000498,1000499,next
1000499,1000500,next
1000500,1000501,next
1000501,1000502,next
1000502,1000503,next
1000503,1000504,next
1000504,1000505,next
1000505,1000506,next
1000506,1000507,next
1000507,1000508,next
1000508,1000509,next
1000509,1000510,next
1000510,1000511,next
1000511,1000512,next
1000512,1000513,next
1000513,1000514,next
1000514,1000515,next
1000515,1000516,next
1000516,1000517,next
1000517,1000518,next
1000518,1000519,next
1000519,1000520,next
1000520,1000521,next
1000521,1000522,next
1000522,1000523,next
1000523,1000524,next
1000524,1000525,next
1000525,1000526,next
1000526,1000527,next
1000527,1000528,next
1000528,1000529,next
1000529,1000530,next
1000530,1000531,next
1000531,1000532,next
1000532,1000533,next
1000533,1000534,next
1000534,1000535,next
1000536,1000537,next
1000537,1000538,next
1000538,1000539,next
1000539,1000540,next
1000540,1000541,next
1000541,1000542,next
1000542,1000543,next
1000543,1000544,next
1000544,1000545,next
1000545,1000546,next
1000546,1000547,next
1000547,1000548,next
1000548,1000549,next
1000549,1000550,next
1000550,1000551,next
1000552,1000553,next
1000553,1000554,next
1000554,1000555,next
1000555,1000556,next
1000556,1000557,next
1000558,1000559,next
1000559,1000560,next
1000560,1000561,next
1000561,1000562,next
1000562,1000563,next
1000563,1000564,next
1000564,1000565,next
1000565,1000566,next
1000566,1000567,next
1000567,1000568,next
1000568,1000569,next
1000569,1000570,next
1000570,1000571,next
1000571,1000572,next
1000572,1000573,next
1000574,1000575,next
1000575,1000576,next
1000576,1000577,next
1000577,1000578,next
1000578,1000579,next
1000579,1000580,next
1000580,1000581,next
1000581,1000582,next
1000582,1000583,next
1000583,1000584,next
1000584,1000585,next
1000585,1000586,next
1000586,1000587,next
1000587,1000588,next
1000588,1000589,next
1000589,1000590,next
1000590,1000591,next
1000591,1000592,next
1000592,1000593,next
1000594,1000595,next
1000595,1000596,next
1000596,1000597,next
1000597,1000598,next
1000598,1000599,next
1000599,1000600,next
1000600,1000601,next
1000601,1000602,next
1000602,1000603,next
1000603,1000604,next
1000604,1000605,next
1000605,1000606,next
1000606,1000607,next
1000607,1000608,next
1000608,1000609,next
1000609,1000610,next
1000610,1000611,next
1000611,1000612,next
1000612,1000613,next
1000613,1000614,next
1000614,1000615,next
1000616,1000617,next
1000618,1000619,next
1000619,1000620,next
1000620,1000621,next
1000621,1000622,next
1000622,1000623,next
1000623,1000624,next
1000624,1000625,next
1000625,1000626,next
1000626,1000627,next
1000627,1000628,next
1000628,1000629,next
1000629,1000630,next
1000630,1000631,next
1000631,1000632,next
1000632,1000633,next
1000633,1000634,next
1000634,1000635,next
1000635,1000636,next
1000636,1000637,next
1000637,1000638,next
1000638,1000639,next
1000639,1000640,next
1000640,1000641,next
1000642,1000643,next
1000643,1000644,next
1000644,1000645,next
1000645,1000646,next
1000646,1000647,next
1000647,1000648,next
1000648,1000649,next
1000649,1000650,next
1000650,1000651,next
1000651,1000652,next
1000652,1000653,next
1000653,1000654,next
1000654,1000655,next
1000655,1000656,next
1000656,1000657,next
1000657,1000658,next
1000658,1000659,next
1000659,1000660,next
1000660,1000661,next
1000661,1000662,next
1000662,1000663,next
1000663,1000664,next
1000664,1000665,next
1000665,1000666,next
1000666,1000667,next
1000667,1000668,next
1000668,1000669,next
1000669,1000670,next
1000670,1000671,next
1000671,1000672,next
1000672,1000673,next
1000673,1000674,next
1000674,1000675,next
1000675,1000676,next
1000676,1000677,next
1000677,1000678,next
1000678,1000679,next
1000679,1000680,next
1000680,1000681,next
1000681,1000682,next
1000682,1000683,next
1000683,1000684,next
1000684,1000685,next
1000685,1000686,next
1000686,1000687,next
1000688,1000689,next
1000689,1000690,next
1000690,1000691,next
1000692,1000693,next
1000693,1000694,next
1000695,1000696,next
1000696,1000697,next
1000697,1000698,next
1000698,1000699,next
1000700,1000701,next
1000701,1000702,next
1000702,1000703,next
1000703,1000704,next
1000704,1000705,next
1000705,1000706,next
1000706,1000707,next
1000707,1000708,next
1000708,1000709,next
1000709,1000710,next
1000710,1000711,next
1000711,1000712,next
1000712,1000713,next
1000713,1000714,next
1000714,1000715,next
1000715,1000716,next
1000717,1000718,next
1000718,1000719,next
1000719,1000720,next
1000720,1000721,next
1000721,1000722,next
1000722,1000723,next
1000723,1000724,next
1000724,1000725,next
1000725,1000726,next
1000727,1000728,next
1000728,1000729,next
1000729,1000730,next
1000730,1000731,next
1000731,1000732,next
1000732,1000733,next
1000733,1000734,next
1000734,1000735,next
1000735,1000736,next
1000736,1000737,next
1000737,1000738,next
