id:ID,no,name,protocol_layer,protocol_suite,abbreviation,character,work_group,:LABEL,
6323,6677,Channel-Binding Support for Extensible Authentication Protocol (EAP) Methods,,,EAP,company,,RFC,
6324,6678,Requirements for a Tunnel-Based Extensible Authentication Protocol (EAP) Method,,,EAP,company,Internet Engineering Task Force (IETF),RFC,
6325,6679,Explicit Congestion Notification (ECN) for RTP over UDP,,,ECN,company,Internet Engineering Task Force (IETF),RFC,
6326,668,Not Issued ,,,,military,,RFC,
6327,6680,Generic Security Service Application Programming Interface (GSS-API) Naming Extensions,,,GSS-API,company,Internet Engineering Task Force (IETF),RFC,
6328,6681,Raptor Forward Error Correction (FEC) Schemes for FECFRAME,,,FEC,company,Internet Engineering Task Force (IETF),RFC,
6329,6682,RTP Payload Format for Raptor Forward Error Correction (FEC),,,FEC,company,Internet Engineering Task Force (IETF),RFC,
6330,6683,Guidelines for Implementing Digital Video Broadcasting - IPTV (DVB-IPTV) Application-Layer Hybrid Forward Error Correction (FEC) Protection,,,DVB-IPTV,company,Internet Engineering Task Force (IETF),RFC,
6331,6684,Guidelines and Template for Defining Extensions to the Incident Object Description Exchange Format (IODEF),,,IODEF,company,Internet Engineering Task Force (IETF),RFC,
6332,6685,Expert Review for Incident Object Description Exchange Format (IODEF) Extensions in IANA XML Registry,,,IODEF,company,Internet Engineering Task Force (IETF),RFC,
6333,6686,Resolution of the Sender Policy Framework (SPF) and Sender ID Experiments,,,SPF,company,Internet Engineering Task Force (IETF),RFC,
6334,6687,Performance Evaluation of the Routing Protocol for Low-Power and Lossy Networks (RPL),,,RPL,military,,RFC,
6335,6688,Parallel NFS (pNFS) Block Disk Protection,,,pNFS,company,,RFC,
6336,6689,Usage of the RSVP ASSOCIATION Object,,,,company,Internet Engineering Task Force (IETF),RFC,
6337,669, November  1974  survey of New-Protocol Telnet servers ,,,,company,Network Working Group,RFC,
6338,6690,Constrained RESTful Environments (CoRE) Link Format,,,CoRE,company,Internet Engineering Task Force (IETF),RFC,
6339,6691,TCP Options and Maximum Segment Size (MSS),,,MSS,company,Internet Engineering Task Force (IETF),RFC,
6340,6692,Source Ports in Abuse Reporting Format (ARF) Reports,,,ARF,company,Internet Engineering Task Force (IETF),RFC,
6341,6693,Probabilistic Routing Protocol for Intermittently Connected Networks,,,,company,Internet Research Task Force (IRTF),RFC,
6342,6694,The "about" URI Scheme,,,,military,,RFC,
6343,6695,Methods to Convey Forward Error Correction (FEC) Framework Configuration Information,,,FEC,company,Internet Engineering Task Force (IETF),RFC,
6344,6696,EAP Extensions for the EAP Re-authentication Protocol (ERP),,,ERP,company,Internet Engineering Task Force (IETF),RFC,
6345,6697,Handover Keying (HOKEY) Architecture Design,,,HOKEY,company,,RFC,
6346,6698,The DNS-Based Authentication of Named Entities (DANE) Transport Layer Security (TLS) Protocol: TLSA,,,DANE,company,Internet Engineering Task Force (IETF),RFC,
6347,6699,Not Issued,,,,military,,RFC,
6348,67, Proposed Change to Host/IMP Spec to Eliminate Marking ,,,,company,Network Working Group,RFC,
6349,670,Not Issued ,,,,military,,RFC,
6350,6700,Not Issued,,,,military,,RFC,
6351,6701,Sanctions Available for Application to Violators of IETF IPR Policy,,,,company,Internet Engineering Task Force (IETF),RFC,
6352,6702,Promoting Compliance with Intellectual Property Rights (IPR) Disclosure Rules,,,IPR,company,Internet Engineering Task Force (IETF),RFC,
6353,6703,Reporting IP Network Performance Metrics: Different Points of View,,,,company,Internet Engineering Task Force (IETF),RFC,
6354,6704,Forcerenew Nonce Authentication,,,,company,Internet Engineering Task Force (IETF),RFC,
6355,6705,Localized Routing for Proxy Mobile IPv6,,,,company,Internet Engineering Task Force (IETF),RFC,
6356,6706,Asymmetric Extended Route Optimization (AERO),,,AERO,military,,RFC,
6357,6707,Content Distribution Network Interconnection (CDNI) Problem Statement,,,CDNI,company,Internet Engineering Task Force (IETF),RFC,
6358,6708,Application-Layer Traffic Optimization (ALTO) Requirements,,,ALTO,company,,RFC,
6359,6709,Design Considerations for Protocol Extensions,,,,company,Internet Architecture Board (IAB),RFC,
6360,671,Note on Reconnection Protocol ,,,,company,Network Working Group,RFC,
6361,6710,Simple Mail Transfer Protocol Extension for Message Transfer Priorities,,,,company,Internet Engineering Task Force (IETF),RFC,
6362,6711,An IANA Registry for Level of Assurance (LoA) Profiles,,,LoA,company,Internet Engineering Task Force (IETF),RFC,
6363,6712,Internet X.509 Public Key Infrastructure -- HTTP Transfer for the Certificate Management Protocol (CMP),,,CMP,company,Internet Engineering Task Force (IETF),RFC,
6364,6713,The 'application/zlib' and 'application/gzip' Media Types,,,,company,Internet Engineering Task Force (IETF),RFC,
6365,6714,Connection Establishment for Media Anchoring (CEMA) for the Message Session Relay Protocol (MSRP),,,CEMA,company,Internet Engineering Task Force (IETF),RFC,
6366,6715,vCard Format Extensions: Representing vCard Extensions Defined by the Open Mobile Alliance (OMA) Converged Address Book (CAB) Group,,,OMA,company,Internet Engineering Task Force (IETF),RFC,
6367,6716,Definition of the Opus Audio Codec,,,,company,Internet Engineering Task Force (IETF),RFC,
6368,6717,kx509 Kerberized Certificate Issuance Protocol in Use in 2012,,,,company,Independent Submission,RFC,
6369,6718,Pseudowire Redundancy,,,,company,Internet Engineering Task Force (IETF),RFC,
6370,6719,The Minimum Rank with Hysteresis Objective Function,,,,company,Internet Engineering Task Force (IETF),RFC,
6371,672, Multi-site data collection facility ,,,,company,Network Working Group,RFC,
6372,6720,The Generalized TTL Security Mechanism (GTSM) for the Label Distribution Protocol (LDP),,,GTSM,company,Internet Engineering Task Force (IETF),RFC,
6373,6721,The Atom "deleted-entry" Element,,,,company,Internet Engineering Task Force (IETF),RFC,
6374,6722,Publishing the "Tao of the IETF" as a Web Page,,,,military,,RFC,
6375,6723,Update of the Pseudowire Control-Word Negotiation Mechanism,,,,company,,RFC,
6376,6724,Default Address Selection for Internet Protocol Version 6 (IPv6),,,IPv6,company,,RFC,
6377,6725,DNS Security (DNSSEC) DNSKEY Algorithm IANA Registry Updates,,,DNSSEC,company,Internet Engineering Task Force (IETF),RFC,
6378,6726,FLUTE - File Delivery over Unidirectional Transport,,,,company,Internet Engineering Task Force (IETF),RFC,
6379,6727,Definitions of Managed Objects for Packet Sampling,,,,company,,RFC,
6380,6728,Configuration Data Model for the IP Flow Information Export (IPFIX) and Packet Sampling (PSAMP) Protocols,,,IPFIX,company,Internet Engineering Task Force (IETF),RFC,
6381,6729,Indicating Email Handling States in Trace Fields,,,,company,Internet Engineering Task Force (IETF),RFC,
6382,673,Not Issued ,,,,military,,RFC,
6383,6730,Requirements for IETF Nominations Committee Tools,,,,company,Internet Engineering Task Force (IETF),RFC,
6384,6731,Improved Recursive DNS Server Selection for Multi-Interfaced Nodes,,,,company,Internet Engineering Task Force (IETF),RFC,
6385,6732,6to4 Provider Managed Tunnels,,,,company,,RFC,
6386,6733,Diameter Base Protocol,,,,company,,RFC,
6387,6734,Diameter Attribute-Value Pairs for Cryptographic Key Transport,,,,company,Internet Engineering Task Force (IETF),RFC,
6388,6735,Diameter Priority Attribute-Value Pairs,,,,company,,RFC,
6389,6736,Diameter Network Address and Port Translation Control Application,,,,company,Internet Engineering Task Force (IETF),RFC,
6390,6737,The Diameter Capabilities Update Application,,,,company,Internet Engineering Task Force (IETF),RFC,
6391,6738,Diameter IKEv2 SK: Using Shared Keys to Support Interaction between IKEv2 Servers and Diameter Servers,,,,company,Internet Engineering Task Force (IETF),RFC,
6392,6739,Synchronizing Service Boundaries and <mapping> Elements Based on the Location-to-Service Translation (LoST) Protocol,,,LoST,company,Internet Engineering Task Force (IETF),RFC,
6393,674, Procedure call documents: Version 2 ,,,,company,Jonathan B. Postel/JBP; Distribution: /NAG( [ ACTION ] ) NLG( [ ACTION ],RFC,
6394,,,,,,,,RFC,
6395,6740,Identifier-Locator Network Protocol (ILNP) Architectural Description,,,ILNP,company,Internet Research Task Force (IRTF),RFC,
6396,6741,Identifier-Locator Network Protocol (ILNP) Engineering Considerations,,,ILNP,company,Internet Research Task Force (IRTF),RFC,
6397,6742,DNS Resource Records for the Identifier-Locator Network Protocol (ILNP),,,ILNP,company,Internet Research Task Force (IRTF),RFC,
6398,6743,ICMP Locator Update Message for the Identifier-Locator Network Protocol for IPv6 (ILNPv6),,,ILNPv6,company,Internet Research Task Force (IRTF),RFC,
6399,6744,IPv6 Nonce Destination Option for the Identifier-Locator Network Protocol for IPv6 (ILNPv6),,,ILNPv6,company,Internet Research Task Force (IRTF),RFC,
6400,6745,ICMP Locator Update Message for the Identifier-Locator Network Protocol for IPv4 (ILNPv4),,,ILNPv4,company,Internet Research Task Force (IRTF),RFC,
6401,6746,IPv4 Options for the Identifier-Locator Network Protocol (ILNP),,,ILNP,company,Internet Research Task Force (IRTF),RFC,
6402,6747,Address Resolution Protocol (ARP) for the Identifier-Locator Network Protocol for IPv4 (ILNPv4),,,ARP,company,Internet Research Task Force (IRTF),RFC,
6403,6748,Optional Advanced Deployment Scenarios for the Identifier-Locator Network Protocol (ILNP),,,ILNP,company,Internet Research Task Force (IRTF),RFC,
6404,6749,The OAuth 2.0 Authorization Framework,,,,military,,RFC,
6405,675, Specification of Internet Transmission Control Program ,,,,person,Network Working Group,RFC,
6406,6750,The OAuth 2.0 Authorization Framework: Bearer Token Usage,,,,company,Internet Engineering Task Force (IETF),RFC,
6407,6751,Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44),,,6a44,company,Independent Submission,RFC,
6408,6752,Issues with Private IP Addressing in the Internet,,,,company,Internet Engineering Task Force (IETF),RFC,
6409,6753,A Location Dereference Protocol Using HTTP-Enabled Location Delivery (HELD),,,HELD,company,Internet Engineering Task Force (IETF),RFC,
6410,6754,Protocol Independent Multicast Equal-Cost Multipath (ECMP) Redirect,,,ECMP,company,Internet Engineering Task Force (IETF),RFC,
6411,6755,An IETF URN Sub-Namespace for OAuth,,,,company,Internet Engineering Task Force (IETF),RFC,
6412,6756,Internet Engineering Task Force and International Telecommunication Union - Telecommunication Standardization Sector Collaboration Guidelines,,,,military,,RFC,
6413,6757,Access Network Identifier (ANI) Option for Proxy Mobile IPv6,,,ANI,company,,RFC,
6414,6758,Tunneling of SMTP Message Transfer Priorities,,,,company,Internet Engineering Task Force (IETF),RFC,
6415,6759,Cisco Systems Export of Application Information in IP Flow Information Export (IPFIX),,,IPFIX,company,Internet Engineering Task Force (IETF),RFC,
6416,676,Not Issued ,,,,military,,RFC,
6417,6760,Requirements for a Protocol to Replace the AppleTalk Name Binding Protocol (NBP),,AppleTalk,NBP,company,Internet Engineering Task Force (IETF),RFC,
6418,6761,Special-Use Domain Names,,,,company,Internet Engineering Task Force (IETF),RFC,
6419,6762,Multicast DNS,,,,company,Internet Engineering Task Force (IETF),RFC,
6420,6763,DNS-Based Service Discovery,,,,company,Internet Engineering Task Force (IETF),RFC,
6421,6764,Locating Services for Calendaring Extensions to WebDAV (CalDAV) and vCard Extensions to WebDAV (CardDAV),,,CalDAV,company,Internet Engineering Task Force (IETF),RFC,
6422,6765,xDSL Multi-Pair Bonding (G.Bond) MIB,,,G.Bond,company,Internet Engineering Task Force (IETF),RFC,
6423,6766,xDSL Multi-Pair Bonding Using Time-Division Inverse Multiplexing (G.Bond/TDIM) MIB,,,G.Bond/TDIM,company,Internet Engineering Task Force (IETF),RFC,
6424,6767,Ethernet-Based xDSL Multi-Pair Bonding (G.Bond/Ethernet) MIB,,,G.Bond/Ethernet,company,Internet Engineering Task Force (IETF),RFC,
6425,6768,ATM-Based xDSL Bonded Interfaces MIB,,,,company,Internet Engineering Task Force (IETF),RFC,
6426,6769,Simple Virtual Aggregation (S-VA),,,S-VA,company,Internet Engineering Task Force (IETF),RFC,
6427,677, Maintenance of duplicate databases ,,,,person,Network Working Group,RFC,
6428,6770,Use Cases for Content Delivery Network Interconnection,,,,company,,RFC,
6429,6771,Considerations for Having a Successful "Bar BOF" Side Meeting,,,,company,Internet Engineering Task Force (IETF),RFC,
6430,6772,Geolocation Policy: A Document Format for Expressing Privacy Preferences for Location Information,,,,company,,RFC,
6431,6773,DCCP-UDP: A Datagram Congestion Control Protocol UDP Encapsulation for NAT Traversal,,,,company,Internet Engineering Task Force (IETF),RFC,
6432,6774,Distribution of Diverse BGP Paths,,,,company,,RFC,
6433,6775,Neighbor Discovery Optimization for IPv6 over Low-Power Wireless Personal Area Networks (6LoWPANs),,,6LoWPANs,company,,RFC,
6434,6776,Measurement Identity and Information Reporting Using a Source Description (SDES) Item and an RTCP Extended Report (XR) Block,,,SDES,company,Internet Engineering Task Force (IETF),RFC,
6435,6777,Label Switched Path (LSP) Data Path Delay Metrics in Generalized MPLS and MPLS Traffic Engineering (MPLS-TE) Networks,,,LSP,company,,RFC,
6436,6778,Requirements for Archiving IETF Email Lists and for Providing Web-Based Browsing and Searching,,,,company,Internet Engineering Task Force (IETF),RFC,
6437,6779,Definition of Managed Objects for the Neighborhood Discovery Protocol,,,,company,Internet Engineering Task Force (IETF),RFC,
6438,678, Standard file formats ,,,,company,Network Working Group,RFC,
6439,6780,RSVP ASSOCIATION Object Extensions,,,,company,Internet Engineering Task Force (IETF),RFC,
6440,6781,DNSSEC Operational Practices  Version 2,,,,company,Internet Engineering Task Force (IETF),RFC,
6441,6782,Wireline Incremental IPv6,,,,company,,RFC,
6442,6783,Mailing Lists and Non-ASCII Addresses,,,,company,Internet Engineering Task Force (IETF),RFC,
6443,6784,Kerberos Options for DHCPv6,,,,company,Internet Engineering Task Force (IETF),RFC,
6444,6785,Support for Internet Message Access Protocol (IMAP) Events in Sieve,,,IMAP,company,Internet Engineering Task Force (IETF),RFC,
6445,6786,Encrypting the Protocol for Carrying Authentication for Network Access (PANA) Attribute-Value Pairs,,,PANA,company,Internet Engineering Task Force (IETF),RFC,
6446,6787,Media Resource Control Protocol Version 2 (MRCPv2),,,MRCPv2,company,Internet Engineering Task Force (IETF),RFC,
6447,6788,The Line-Identification Option,,,,company,Internet Engineering Task Force (IETF),RFC,
6448,6789,Congestion Exposure (ConEx) Concepts and Use Cases,,,ConEx,military,,RFC,
6449,679, February  1975  survey of New-Protocol Telnet servers ,,,,company,Network Working Group,RFC,
6450,6790,The Use of Entropy Labels in MPLS Forwarding,,,,company,Internet Engineering Task Force (IETF),RFC,
6451,6791,Stateless Source Address Mapping for ICMPv6 Packets,,,,company,Internet Engineering Task Force (IETF),RFC,
6452,6792,Guidelines for Use of the RTP Monitoring Framework,,,,company,,RFC,
6453,6793,BGP Support for Four-Octet Autonomous System (AS) Number Space,,,AS,company,Internet Engineering Task Force (IETF),RFC,
6454,6794,A Framework for Session Initiation Protocol (SIP) Session Policies,,,SIP,company,Internet Engineering Task Force (IETF),RFC,
6455,6795,A Session Initiation Protocol (SIP) Event Package for Session-Specific Policies,,,SIP,company,Internet Engineering Task Force (IETF),RFC,
6456,6796,A User Agent Profile Data Set for Media Policy,,,,company,Internet Engineering Task Force (IETF),RFC,
6457,6797,HTTP Strict Transport Security (HSTS),,,HSTS,company,Internet Engineering Task Force (IETF),RFC,
6458,6798,RTP Control Protocol (RTCP) Extended Report (XR) Block for Packet Delay Variation Metric Reporting,,,RTCP,company,Internet Engineering Task Force (IETF),RFC,
6459,6799,Not Issued,,,,military,,RFC,
6460,68, Comments on Memory Allocation Control Commands: CEASE  ALL  GVB  RET  and RFNM ,,,,person,Network Working Group,RFC,
6461,680, Message Transmission Protocol ,,,,company,Network Working Group,RFC,
6462,6800,Not Issued,,,,military,,RFC,
6463,6801,Pseudo Content Delivery Protocol (CDP) for Protecting Multiple Source Flows in the Forward Error Correction (FEC) Framework,,,CDP,company,Internet Engineering Task Force (IETF),RFC,
6464,6802,Ericsson Two-Way Active Measurement Protocol (TWAMP) Value-Added Octets,,,TWAMP,company,Internet Engineering Task Force (IETF),RFC,
6465,6803,Camellia Encryption for Kerberos 5,,,,company,Internet Engineering Task Force (IETF),RFC,
6466,6804,DISCOVER: Supporting Multicast DNS Queries,,,,person,Independent Submission,RFC,
6467,6805,The Application of the Path Computation Element Architecture to the Determination of a Sequence of Domains in MPLS and GMPLS,,,,military,,RFC,
6468,6806,Kerberos Principal Name Canonicalization and Cross-Realm Referrals,,,,company,,RFC,
6469,6807,Population Count Extensions to Protocol Independent Multicast (PIM),,,PIM,company,Internet Engineering Task Force (IETF),RFC,
6470,6808,Test Plan and Results Supporting Advancement of RFC 2679 on the Standards Track,,,,company,Internet Engineering Task Force (IETF),RFC,
6471,6809,Mechanism to Indicate Support of Features and Capabilities in the Session Initiation Protocol (SIP),,,SIP,company,Internet Engineering Task Force (IETF),RFC,
6472,681, Network UNIX ,,,,company,3/18/75,RFC,
6473,6810,The Resource Public Key Infrastructure (RPKI) to Router Protocol,,,RPKI,company,Internet Engineering Task Force (IETF),RFC,
6474,6811,BGP Prefix Origin Validation,,,,company,Internet Engineering Task Force (IETF),RFC,
6475,6812,Cisco Service-Level Assurance Protocol,,,,company,Independent Submission,RFC,
6476,6813,The Network Endpoint Assessment (NEA) Asokan Attack Analysis,,,NEA,company,Internet Engineering Task Force (IETF),RFC,
6477,6814,Formally Deprecating Some IPv4 Options,,,,company,Internet Engineering Task Force (IETF),RFC,
6478,6815,Applicability Statement for RFC 2544: Use on Production Networks Considered Harmful,,,,company,Internet Engineering Task Force (IETF),RFC,
6479,6816,Simple Low-Density Parity Check (LDPC) Staircase Forward Error Correction (FEC) Scheme for FECFRAME,,,LDPC,company,Internet Engineering Task Force (IETF),RFC,
6480,6817,Low Extra Delay Background Transport (LEDBAT),,,LEDBAT,company,Internet Engineering Task Force (IETF),RFC,
6481,6818,Updates to the Internet X.509 Public Key Infrastructure Certificate and Certificate Revocation List (CRL) Profile,,,CRL,company,Internet Engineering Task Force (IETF),RFC,
6482,6819,OAuth 2.0 Threat Model and Security Considerations,,,,company,,RFC,
6483,682,Not Issued ,,,,military,,RFC,
6484,6820,Address Resolution Problems in Large Data Center Networks,,,,company,Internet Engineering Task Force (IETF),RFC,
6485,6821,Improving Peer Selection in Peer-to-peer Applications: Myths vs. Reality,,,,company,Internet Research Task Force (IRTF),RFC,
6486,6822,IS-IS Multi-Instance,,,,company,,RFC,
6487,6823,Advertising Generic Information in IS-IS,,,,company,Internet Engineering Task Force (IETF),RFC,
6488,6824,TCP Extensions for Multipath Operation with Multiple Addresses,,,,company,Internet Engineering Task Force (IETF),RFC,
6489,6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,,,,company,Internet Engineering Task Force (IETF),RFC,
6490,6826,Multipoint LDP In-Band Signaling for Point-to-Multipoint and Multipoint-to-Multipoint Label Switched Paths,,,,company,,RFC,
6491,6827,Automatically Switched Optical Network (ASON) Routing for OSPFv2 Protocols,,,ASON,military,,RFC,
6492,6828,Content Splicing for RTP Sessions,,,,company,Internet Engineering Task Force (IETF),RFC,
6493,6829,Label Switched Path (LSP) Ping for Pseudowire Forwarding Equivalence Classes (FECs) Advertised over IPv6,,,LSP,company,Internet Engineering Task Force (IETF),RFC,
6494,683, FTPSRV - Tenex extension for paged files ,,,,company,,RFC,
6495,6830,The Locator/ID Separation Protocol (LISP),,,LISP,company,Internet Engineering Task Force (IETF),RFC,
6496,6831,The Locator/ID Separation Protocol (LISP) for Multicast Environments,,,LISP,company,Internet Engineering Task Force (IETF),RFC,
6497,6832,Interworking between Locator/ID Separation Protocol (LISP) and Non-LISP Sites,,,LISP,person,Internet Engineering Task Force (IETF),RFC,
6498,6833,Locator/ID Separation Protocol (LISP) Map-Server Interface,,,LISP,company,Internet Engineering Task Force (IETF),RFC,
6499,6834,Locator/ID Separation Protocol (LISP) Map-Versioning,,,LISP,company,Internet Engineering Task Force (IETF),RFC,
