:START_ID,:END_ID,:TYPE
100100,300,author
100048,300,author
100048,301,author
100224,301,author
100225,302,author
100226,302,author
100004,303,author
100227,304,author
100207,305,author
100228,306,author
100229,306,author
100230,306,author
100231,307,author
100232,308,author
100118,308,author
100233,309,author
100233,310,author
100233,311,author
100233,312,author
100233,313,author
100004,314,author
100004,315,author
100234,316,author
100000,316,author
100235,316,author
100187,317,author
100178,318,author
100236,319,author
100087,320,author
100190,321,author
100237,321,author
100238,321,author
100067,321,author
100239,322,author
100240,322,author
100106,322,author
100241,322,author
100142,322,author
100242,323,author
100243,324,author
100112,325,author
100244,325,author
100245,325,author
100246,326,author
100247,327,author
100248,328,author
100249,328,author
100250,329,author
100251,329,author
100250,330,author
100251,330,author
100252,330,author
100217,331,author
100038,332,author
100253,333,author
100254,334,author
100255,334,author
100256,335,author
100106,336,author
100113,337,author
100257,338,author
100258,339,author
100259,339,author
100260,339,author
100261,340,author
100262,340,author
100263,340,author
100067,341,author
100178,341,author
100264,342,author
100265,342,author
100266,343,author
100267,344,author
100268,344,author
100268,345,author
100267,345,author
100269,346,author
100096,346,author
100269,347,author
100096,347,author
100270,347,author
100112,348,author
100113,348,author
100240,349,author
100004,350,author
100131,351,author
100271,351,author
100025,352,author
100272,353,author
100273,353,author
100251,354,author
100183,354,author
100274,354,author
100275,355,author
100275,356,author
100275,357,author
100276,358,author
100056,359,author
100277,360,author
100277,361,author
100110,362,author
100048,362,author
100278,362,author
100079,363,author
100241,363,author
100279,363,author
100280,364,author
100214,365,author
100263,365,author
100281,366,author
100282,367,author
100282,368,author
100283,369,author
100284,370,author
100285,371,author
100286,371,author
100287,371,author
100288,372,author
100289,373,author
100288,374,author
100290,375,author
100288,375,author
100291,376,author
100135,376,author
100214,377,author
100241,378,author
100292,379,author
100293,379,author
100294,379,author
100295,379,author
100296,380,author
100297,380,author
100298,381,author
100096,382,author
100004,382,author
100299,383,author
100300,383,author
100301,384,author
100299,385,author
100299,386,author
100302,387,author
100303,388,author
100200,389,author
100304,390,author
100305,391,author
100306,392,author
100307,393,author
100030,394,author
100308,394,author
100067,394,author
100308,395,author
100067,395,author
100030,395,author
100067,396,author
100030,396,author
100308,396,author
100183,397,author
100309,398,author
100263,398,author
100252,399,author
100130,399,author
100089,399,author
100273,400,author
100240,401,author
100310,402,author
100311,403,author
100004,404,author
100266,405,author
100312,406,author
100025,407,author
100295,408,author
100313,409,author
100314,410,author
100161,411,author
100315,412,author
100067,412,author
100227,413,author
100063,414,author
100316,415,author
100240,415,author
100224,416,author
100317,417,author
100279,417,author
100318,418,author
100319,419,author
100267,419,author
100320,420,author
100321,421,author
100099,422,author
100322,423,author
100241,424,author
100323,425,author
100057,425,author
100112,425,author
100113,425,author
100324,425,author
100325,425,author
100326,425,author
100056,425,author
100327,425,author
100224,426,author
100305,426,author
100328,427,author
100183,427,author
100329,428,author
100330,429,author
100232,430,author
100233,430,author
100291,431,author
100331,432,author
100004,432,author
100214,433,author
100214,434,author
100214,435,author
100183,435,author
100063,436,author
100099,437,author
100214,438,author
100214,439,author
100332,439,author
100214,440,author
100320,441,author
100096,442,author
100000,443,author
100333,444,author
100227,445,author
100334,446,author
100001,448,author
100220,449,author
100316,450,author
100246,451,author
100295,452,author
100335,453,author
100336,454,author
100337,455,author
100338,455,author
100339,456,author
100193,456,author
100340,457,author
100340,458,author
100112,459,author
100113,459,author
100341,460,author
100340,461,author
100342,462,author
100044,463,author
100044,464,author
100178,464,author
100343,465,author
100344,465,author
100340,466,author
100217,467,author
100178,468,author
100345,469,author
100346,469,author
100347,470,author
100140,470,author
100255,471,author
100047,472,author
100103,473,author
100348,474,author
100276,475,author
100349,476,author
100350,476,author
100351,476,author
100178,476,author
100352,476,author
100353,476,author
100349,477,author
100350,477,author
100351,477,author
100178,477,author
100352,477,author
100353,477,author
100349,478,author
100350,478,author
100351,478,author
100301,478,author
100354,479,author
100355,480,author
100356,481,author
100140,481,author
100347,481,author
100004,481,author
100282,482,author
100357,482,author
100106,482,author
100142,482,author
100103,482,author
100232,483,author
100358,484,author
100359,485,author
100360,485,author
100140,485,author
100361,486,author
100362,486,author
100363,487,author
100364,488,author
100365,488,author
100366,488,author
100253,488,author
100367,488,author
100368,488,author
100299,489,author
100369,489,author
100370,490,author
100330,490,author
100371,491,author
100326,492,author
100372,493,author
100087,494,author
100067,494,author
100178,494,author
100207,494,author
100087,495,author
100067,495,author
100178,495,author
100207,495,author
100087,496,author
100067,496,author
100178,496,author
100207,496,author
100087,497,author
100067,497,author
100178,497,author
100207,497,author
100308,498,author
100067,498,author
100308,499,author
100067,499,author
100067,500,author
100308,500,author
100087,501,author
100067,501,author
100178,501,author
100207,501,author
100087,502,author
100067,502,author
100178,502,author
100207,502,author
100004,503,author
100087,504,author
100067,504,author
100178,504,author
100207,504,author
100087,505,author
100067,505,author
100178,505,author
100207,505,author
100087,506,author
100067,506,author
100178,506,author
100207,506,author
100373,507,author
100374,508,author
100375,509,author
100376,510,author
100377,511,author
100378,512,author
100379,512,author
100380,513,author
100280,513,author
100002,514,author
100381,514,author
100327,514,author
100178,515,author
100328,516,author
100105,517,author
100382,517,author
100382,518,author
100383,518,author
100384,519,author
100385,520,author
100314,521,author
100161,522,author
100386,523,author
100387,523,author
100388,523,author
100389,524,author
100390,525,author
100391,526,author
100096,526,author
100227,527,author
100227,528,author
100227,529,author
100227,530,author
100089,531,author
100089,532,author
100392,533,author
100392,534,author
100392,535,author
100119,536,author
100331,537,author
100004,537,author
100330,538,author
100393,539,author
100394,539,author
100395,540,author
100282,541,author
100282,542,author
100178,543,author
100396,543,author
100397,544,author
100210,544,author
100118,544,author
100210,545,author
100118,545,author
100397,545,author
100398,545,author
100399,546,author
100001,547,author
100250,548,author
100251,548,author
100252,548,author
100269,549,author
100249,549,author
100371,550,author
100190,551,author
100237,551,author
100238,551,author
100067,551,author
100400,552,author
100401,552,author
100400,553,author
100118,553,author
100402,553,author
100178,553,author
100401,553,author
100400,554,author
100403,554,author
100404,554,author
100096,555,author
100405,556,author
100334,557,author
100406,558,author
100035,559,author
100004,560,author
100407,561,author
100400,562,author
100067,563,author
100178,563,author
100408,564,author
100409,565,author
100130,565,author
100089,565,author
100410,566,author
100411,567,author
100047,568,author
100412,569,author
100326,570,author
100413,571,author
100414,571,author
100047,572,author
100087,573,author
100238,573,author
100207,574,author
100415,575,author
100207,575,author
100315,576,author
100067,576,author
100416,576,author
100315,577,author
100067,577,author
100417,578,author
100418,578,author
100048,579,author
100293,579,author
100292,580,author
100293,580,author
100294,580,author
100295,580,author
100419,581,author
100048,582,author
100161,582,author
100299,583,author
100300,583,author
100301,584,author
100299,585,author
100299,586,author
100190,587,author
100067,587,author
100237,587,author
100238,587,author
100174,588,author
100420,589,author
